Site,Year,Acanthurus.bahianus,Acanthurus.coeruleus,Gobiidae,Gramma.loreto,Haemulon.flavolineatum,Bodianus.rufus,Clepticus.parrae,Halichoeres.garnoti,Halichoeres.maculipinna,Thalassoma.bifasciatum,Abudefduf.saxatilis,Chromis.cyanea,Chromis.enchrysura,Chromis.insolata,Chromis.multilineata,Stegastes.leucostictus,Stegastes.partitus,Scarus.iserti,Scarus.taeniopterus,Sparisoma.atomarium,Sparisoma.aurofrenatum,Sparisoma.viride,Hypoplectrus.puella,Serranus.tigrinus,Canthigaster.rostrata,Tot.Abund0.5
HC,2012,0.008333333,0,0.05,0,0,0,0,0.1,0,0.458333333,0,0.233333333,0,0,0,0,0.916666667,0.091666667,0,0,0.025,0.041666667,0,0,0.108333333,2.033333333
HM,2012,0,0.055555556,0,1.1,0.011111111,0,1.288888889,0,0,0.766666667,0,10.33333333,0,0,0.466666667,0,0.788888889,0.055555556,0,0,0,1.111111111,0,0,0.255555556,16.23333333
MC,2012,0,0.344444444,0,0,0,0,0,0.288888889,0,0.322222222,0,1.666666667,0,0,0.1,0,1.088888889,0.111111111,0,0,0.011111111,0.011111111,0,0,0.044444444,3.988888889
MR,2012,0,0,0,0,0,0,0,0.033333333,0,0.155555556,0,0.033333333,0,0,0,0,0.311111111,0.055555556,0.011111111,0,0,0,0,0,0.377777778,0.977777778
NI,2012,0,0,0,0,0,0,0,0.422222222,0,0.222222222,0,0.244444444,0,0,0,0,0.477777778,0,0,0,0.066666667,0.022222222,0,0,0.211111111,1.666666667
PO,2012,0,0,0,0,0,0,0,0.266666667,0,0.026666667,0,0.04,0,0,0,0,0.226666667,0.053333333,0,0,0,0.08,0,0,0.16,0.853333333
RA,2012,0,0,0,0,0,0,3,0.08,0,0.146666667,0,0.253333333,0,0,0,0.026666667,0.56,0,0,0,0,0.013333333,0,0,0.346666667,4.426666667
SM,2012,0,0.011111111,0,0,0,0,0,0.388888889,0,0.188888889,0,2.622222222,0,0,0.011111111,0,1.3,0,0,0,0,0.022222222,0,0,0.266666667,4.811111111
ST,2012,0,0,0,0,0,0,0,0.044444444,0,0.5,0,0.488888889,0,0,0,0,0.933333333,0,0,0,0,0,0,0,0.011111111,1.977777778
SW,2012,0,0,0.244444444,0,0,0,1.388888889,0.211111111,0,0.144444444,0,1.244444444,0,0,0,0.011111111,0.344444444,0.255555556,0,0,0.011111111,0,0,0,0.3,4.155555556
TB,2012,0.022222222,0.011111111,0.033333333,0,0,0,0,0.033333333,0,0.322222222,0.022222222,0.288888889,0,0,0,0,0.555555556,0.133333333,0,0,0,0.022222222,0,0.022222222,0.077777778,1.544444444
TO,2012,0,0,0.011111111,0,0,0,0,0.522222222,0,0.133333333,0,0,0,0,0,0,0.322222222,0.1,0,0,0,0.022222222,0,0,0.3,1.411111111
AL,2013,0,0,0,0.055555556,0,0,0,0.288888889,0,0.022222222,0,0.022222222,0,0,0,0,0.155555556,0.222222222,0.033333333,0.033333333,0.077777778,0,0,0,1.1,2.011111111
